,director,first_actor,genres,rating,runtime,second_actor,title
5432,Pascal Laugier,Morjana Alaoui,"[Drama, Horror]",7.1,99.0,Mylène Jampanoï,Martyrs
5433,Steven E. de Souza,Jean-Claude Van Damme,"[Action, Sci-Fi, Thriller]",3.7,102.0,Raul Julia,Street Fighter
5434,Todd Strauss-Schulson,Kal Penn,[Comedy],6.3,90.0,John Cho,A Very Harold &#x26; Kumar 3D Christmas
5435,Bill Condon,Beyoncé Knowles,"[Drama, Music, Musical]",6.6,130.0,Jamie Foxx,Dreamgirls
5436,Neil Jordan,Jodie Foster,"[Crime, Drama, Thriller]",6.8,122.0,Terrence Howard,The Brave One
5437,Rob Reiner,Madeline Carroll,"[Comedy, Drama, Romance]",7.7,90.0,Callan McAuliffe,Flipped
5438,Stuart Hazeldine,Adar Beck,"[Mystery, Thriller]",6.9,101.0,Gemma Chan,Exam
5439,Barry Sonnenfeld,Anjelica Huston,"[Comedy, Fantasy]",6.5,94.0,Raul Julia,Addams Family Values
5440,Clint Eastwood,Clint Eastwood,"[Drama, Romance]",7.5,135.0,Meryl Streep,The Bridges of Madison County
5441,Richard Loncraine,Harrison Ford,"[Crime, Thriller]",5.8,105.0,Virginia Madsen,Firewall
5442,Aaron Seltzer,Alyson Hannigan,"[Comedy, Romance]",2.7,83.0,Fred Willard,Date Movie
5443,Paul Weitz,Dennis Quaid,"[Comedy, Drama, Romance]",6.5,109.0,Topher Grace,In Good Company
5444,Alejandro Amenábar,Eduardo Noriega,"[Drama, Mystery, Romance, Sci-Fi]",7.8,117.0,Penélope Cruz,Open Your Eyes
5445,Richard Loncraine,Kirsten Dunst,"[Comedy, Romance, Sport]",6.3,98.0,Paul Bettany,Wimbledon
5446,Ash Brannon,Chris Buck,"[Animation, Comedy, Family, Sport]",6.8,85.0,Shia LaBeouf,Surf&#x27;s Up
5447,Paul Weiland,Patrick Dempsey,"[Comedy, Romance]",5.8,101.0,Michelle Monaghan,Made of Honour
5448,Liev Schreiber,Elijah Wood,"[Comedy, Drama]",7.5,106.0,Eugene Hutz,Everything Is Illuminated
5449,Jaume Balagueró,Paco Plaza,"[Horror, Thriller]",6.6,85.0,Jonathan D. Mellor,[Rec]&#xB2;
5450,Troy Duffy,Sean Patrick Flanery,"[Action, Comedy, Crime, Drama, Thriller]",6.4,118.0,Norman Reedus,The Boondock Saints II: All Saints Day
5451,Curtis Hanson,Toni Collette,"[Comedy, Drama, Romance]",6.5,130.0,Cameron Diaz,In Her Shoes
5452,Jeffrey Nachmanoff,Don Cheadle,"[Action, Crime, Drama, Thriller]",7.0,114.0,Guy Pearce,Traitor
5453,Henry Alex Rubin,Jason Bateman,"[Drama, Thriller]",7.6,115.0,Jonah Bobo,Disconnect
5454,Bradley Parker,Jesse McCartney,"[Horror, Thriller]",5.0,86.0,Jonathan Sadowski,Chernobyl Diaries
5455,Rob Letterman,Jack Black,"[Adventure, Comedy, Family, Fantasy]",4.9,85.0,Emily Blunt,Gulliver&#x27;s Travels
5456,Ivan Reitman,Arnold Schwarzenegger,"[Comedy, Romance, Sci-Fi]",4.5,109.0,Danny DeVito,Junior
5457,Ed Harris,Ed Harris,"[Crime, Drama, Western]",6.8,115.0,Viggo Mortensen,Appaloosa
5458,Christopher Morris,Will Adamsdale,"[Comedy, Crime, Drama]",7.3,97.0,Riz Ahmed,Four Lions
5459,Scott Frank,Joseph Gordon-Levitt,"[Crime, Drama, Thriller]",7.1,99.0,Jeff Daniels,The Lookout
5460,Taylor Hackford,Meg Ryan,"[Action, Drama, Thriller]",6.2,135.0,Russell Crowe,Proof of Life
5461,Sam Raimi,Cate Blanchett,"[Drama, Horror, Mystery, Thriller]",6.7,112.0,Katie Holmes,The Gift
5462,Kyle Newman,Dan Fogler,"[Adventure, Comedy, Drama]",6.6,90.0,Jay Baruchel,Fanboys
5463,Tom Six,Dieter Laser,[Horror],4.5,92.0,Ashley C. Williams,The Human Centipede (First Sequence)
5464,Kevin Smith,Michael Parks,"[Action, Crime, Horror, Thriller]",6.2,88.0,Melissa Leo,Red State
5465,Brad Silberling,Will Ferrell,"[Adventure, Comedy, Sci-Fi]",5.3,102.0,Danny McBride,Land of the Lost
5466,P.J. Hogan,Jeremy Sumpter,"[Adventure, Family, Fantasy, Romance]",6.9,113.0,Jason Isaacs,Peter Pan
5467,James Watkins,Kelly Reilly,"[Horror, Thriller]",6.9,91.0,Michael Fassbender,Eden Lake
5468,Michael Haneke,Daniel Auteuil,"[Drama, Mystery, Thriller]",7.3,117.0,Juliette Binoche,Hidden (Cach&#xE9;)
5469,Tommy Wirkola,Jeppe Beck Laursen,"[Comedy, Horror]",6.4,90.0,Charlotte Frogner,Dead Snow
5470,Gil Kenan,Saoirse Ronan,"[Adventure, Family, Fantasy, Sci-Fi]",6.5,90.0,Toby Jones,City of Ember
5471,Kevin Macdonald,Channing Tatum,"[Adventure, Drama]",6.2,114.0,Jamie Bell,The Eagle
5472,Joon-ho Bong,Kang-ho Song,"[Crime, Drama, Mystery, Thriller]",8.1,130.0,Sang-kyung Kim,Memories of Murder
5473,Nanette Burstein,Drew Barrymore,"[Comedy, Romance]",6.4,102.0,Justin Long,Going the Distance
5474,Aki Kaurismäki,Kati Outinen,"[Comedy, Drama]",7.7,96.0,Kari Väänänen,Drifting Clouds
5475,Matt Eskandari,Michael A. Pierce,"[Horror, Thriller]",6.6,90.0,Stephen Weigand,Victim
5476,Doris Dörrie,Elmar Wepper,"[Drama, Romance]",7.7,127.0,Hannelore Elsner,Cherry Blossoms
5477,Santiago Segura,Santiago Segura,"[Action, Comedy, Crime]",6.5,99.0,Gabino Diego,Torrente 2: Mission in Marbella
5478,Takashi Miike,Kôji Yakusho,[Drama],7.3,128.0,Munetaka Aoki,Hara-Kiri: Death of a Samurai
5479,Walter Hill,Jeff Bridges,"[Action, Biography, Western]",5.9,98.0,Ellen Barkin,Wild Bill
5480,Edward Anderson,Tony Curran,"[Crime, Drama, Mystery, Thriller]",5.7,107.0,Peyton List,Shuttle
5481,Siddharth Anand,Saif Ali Khan,"[Comedy, Drama, Romance]",6.3,158.0,Preity Zinta,Salaam Namaste
5482,Debbie Isitt,Martin Freeman,"[Comedy, Music, Romance]",5.8,100.0,Jessica Hynes,Confetti
5483,Ramin Bahrani,Dennis Quaid,"[Drama, Thriller]",5.7,105.0,Zac Efron,At Any Price
5484,Leander Haußmann,Alexander Scheer,"[Comedy, Romance]",6.9,101.0,Alexander Beyer,Sonnenallee
5485,Patricia Rozema,Abigail Breslin,"[Drama, Family]",6.7,101.0,Stanley Tucci,Kit Kittredge: An American Girl
5486,Sinan Çetin,Metin Akpinar,"[Comedy, Drama, History, Romance]",7.0,120.0,Kemal Sunal,Propaganda
5487,William Kaufman,Johnny Strong,"[Action, Crime, Thriller]",6.2,104.0,Kevin Phillips,Bad Cop
5488,Dennis Lee,Jason Spevack,[Comedy],6.4,92.0,Toni Collette,Jesus Henry Christ
5489,Srdjan Dragojevic,Nikola Kojo,[Comedy],8.4,98.0,Milena Pavlovic,We Are Not Angels
5490,Olivier Marchal,Daniel Auteuil,"[Crime, Drama, Thriller]",6.7,125.0,Olivia Bonamy,MR 73
5491,Babak Najafi,Joel Kinnaman,"[Action, Crime, Drama, Thriller]",6.2,99.0,Matias Varela,Easy Money II: Hard to Kill
5492,Bob Saget,Samuel L. Jackson,[Comedy],4.2,80.0,Alyson Hannigan,Farce of the Penguins
5493,Ann Turner,Susan Sarandon,"[Drama, Mystery, Thriller]",5.8,103.0,Sam Neill,Irresistible
5494,Todd Holland,Josh Hutcherson,"[Action, Comedy, Family]",5.4,111.0,Bruce Greenwood,Firehouse Dog
5495,Daryn Tufts,Christopher Gorham,"[Comedy, Romance]",5.8,84.0,Alyssa Milano,My Girlfriend&#x27;s Boyfriend
5496,Aaron Norris,Chuck Norris,"[Action, Adventure, Crime, Thriller, War]",4.5,111.0,John P. Ryan,Delta Force 2: The Colombian Connection
5497,Daniel Barnz,Viola Davis,[Drama],6.4,121.0,Maggie Gyllenhaal,Won&#x27;t Back Down
5498,Bernard Rose,Sophie Marceau,"[Drama, Romance]",6.4,108.0,Sean Bean,Anna Karenina
5499,Reza Bagher,Max Enderfors,"[Comedy, Drama]",6.5,105.0,Andreas af Enehjelm,Popular Music
5500,Bill Bennett,Sandra Bullock,"[Comedy, Romance]",5.1,96.0,Denis Leary,Stolen Hearts
5501,Emilis Velyvis,Zemyna Asmontaite,"[Comedy, Thriller]",7.9,90.0,Donatas Ivanauskas,Zero 2
5502,Jim Malone,Kunihiko Yuyama,"[Animation, Action, Adventure, Family]",5.3,75.0,Rica Matsumoto,Poketto monsut&#xE2;: Sereb&#xEE; - Toki wo koeta deai
5503,Peter Hewitt,Simon Callow,"[Comedy, Family, Sci-Fi]",3.6,87.0,Stephen Fry,Thunderpants
5504,Jeff Franklin,French Stewart,[Comedy],5.7,94.0,Bridgette Wilson-Sampras,Love Stinks
5505,Bruce Campbell,Bruce Campbell,"[Adventure, Comedy, Sci-Fi]",5.6,90.0,Tamara Gorski,Man with the Screaming Brain
5506,James B. Harris,Wesley Snipes,"[Action, Crime, Drama, Thriller]",4.9,92.0,Dennis Hopper,Boiling Point
5507,Yôji Yamada,Masatoshi Nagase,"[Drama, Romance]",7.8,132.0,Takako Matsu,The Hidden Blade
5508,Priyadarshan,Akshaye Khanna,"[Comedy, Drama, Romance]",7.6,153.0,Aftab Shivdasani,Hungama
5509,Fabrice Du Welz,Emmanuelle Béart,"[Drama, Horror, Thriller]",5.3,96.0,Rufus Sewell,Vinyan
5510,David Moreton,Chris Stafford,"[Comedy, Drama, Romance]",6.8,99.0,Tina Holmes,Edge of Seventeen
5511,Trent Cooper,Larry the Cable Guy,"[Comedy, Romance]",3.1,89.0,David Koechner,Larry the Cable Guy: Health Inspector
5512,Douglas Aarniokoski,Shawn Ashmore,"[Action, Drama, Horror, Sci-Fi, Thriller]",5.2,87.0,Brianna Barnes,The Day
5513,Charles Shyer,Nick Nolte,"[Action, Comedy, Romance]",5.2,123.0,Julia Roberts,I Love Trouble
5514,Richard Pearce,Steve Martin,"[Comedy, Drama, Romance]",6.0,108.0,Debra Winger,Leap of Faith
5515,Albert Brooks,Albert Brooks,[Comedy],5.6,97.0,Sharon Stone,The Muse
5516,Brian Goodman,Ethan Hawke,"[Crime, Drama]",6.7,100.0,Mark Ruffalo,What Doesn&#x27;t Kill You
5517,Erik Skjoldbjærg,Stellan Skarsgård,"[Drama, Mystery, Thriller]",7.4,96.0,Maria Mathiesen,Insomnia
5518,Peter Chan,Donnie Yen,"[Action, Drama]",7.1,115.0,Takeshi Kaneshiro,Dragon
5519,Bo Zenga,Steve Howey,"[Comedy, Horror]",3.6,108.0,Diora Baird,Stan Helsing
5520,Haifaa Al-Mansour,Waad Mohammed,"[Comedy, Drama]",7.6,98.0,Reem Abdullah,Wadjda
5521,Dexter Fletcher,Charlie Creed-Miles,[Drama],7.2,98.0,Will Poulter,Wild Bill
5522,Herbert Ross,Whoopi Goldberg,"[Comedy, Drama]",6.3,115.0,Mary-Louise Parker,Boys on the Side
5523,Hiroyuki Kitakubo,Yûki Kudô,"[Animation, Action, Horror]",6.8,48.0,Saemi Nakamura,Blood: The Last Vampire
5524,Chris Fisher,Luke Wilson,"[Crime, Drama, Mystery, Thriller]",5.3,89.0,Samuel L. Jackson,Meeting Evil
5525,Mike Clattenburg,Robb Wells,"[Comedy, Crime]",7.3,95.0,John Paul Tremblay,Trailer Park Boys: The Movie
5526,Tyler Perry,Tyler Perry,"[Comedy, Drama]",5.5,113.0,Janet Jackson,Why Did I Get Married?
5527,Kresten Vestbjerg Andersen,Thorbjørn Christoffersen,"[Animation, Adventure, Comedy, Fantasy]",6.7,89.0,Anders Juul,Ronal the Barbarian
5528,Ed Bye,Harry Enfield,"[Comedy, Music]",5.3,82.0,Kathy Burke,Kevin &#x26; Perry Go Large
5529,Nae Caranfil,Mircea Diaconu,"[Comedy, Drama]",8.6,110.0,Gheorghe Dinica,Philanthropy
5530,Bob Odenkirk,Will Arnett,[Comedy],5.3,93.0,Will Forte,The Brothers Solomon
5531,Karey Kirkpatrick,Eddie Murphy,"[Comedy, Drama, Family, Fantasy]",5.6,107.0,Thomas Haden Church,Imagine That
5532,Rakesh Roshan,Rekha,"[Action, Adventure, Romance, Sci-Fi]",6.3,185.0,Hrithik Roshan,Krrish
5533,Mira Nair,Hilary Swank,"[Adventure, Biography, Drama, Romance]",5.8,111.0,Richard Gere,Amelia
5534,Agnieszka Holland,Leonardo DiCaprio,"[Biography, Drama, Romance]",6.5,111.0,David Thewlis,Total Eclipse
5535,Irwin Winkler,Samuel L. Jackson,"[Action, Drama, War]",5.6,106.0,50 Cent,Home of the Brave
5536,Cédric Klapisch,Fabrice Luchini,"[Comedy, Drama, Romance]",6.9,130.0,Romain Duris,Paris
5537,Jessie Nelson,Ray Liotta,"[Comedy, Drama, Romance]",6.4,115.0,Whoopi Goldberg,"Corrina, Corrina"
5538,Tyler Perry,Tyler Perry,"[Comedy, Crime, Drama]",3.9,103.0,Keshia Knight Pulliam,Madea Goes to Jail
5539,Jan Kounen,Vincent Cassel,"[Adventure, Western]",5.2,124.0,Michael Madsen,Blueberry
5540,Jeb Stuart,Danny Glover,"[Crime, Mystery, Thriller]",6.4,118.0,Dennis Quaid,Switchback
5541,Kar Wai Wong,Brigitte Lin,"[Action, Drama]",7.2,100.0,Maggie Cheung,Ashes of Time
5542,Masayuki Suo,Kôji Yakusho,"[Comedy, Drama, Music, Romance]",7.8,136.0,Tamiyo Kusakari,Shall We Dance?
5543,Daniel Waters,Robert Wisdom,"[Comedy, Drama, Romance]",6.1,100.0,Tanc Sade,Sex and Death 101
5544,Phil Nibbelink,Simon Wells,"[Animation, Adventure, Family, Fantasy]",6.0,72.0,John Goodman,We&#x27;re Back! A Dinosaur&#x27;s Story
5545,David R. Ellis,Michael J. Fox,"[Adventure, Comedy, Family, Romance]",5.8,89.0,Sally Field,Homeward Bound II: Lost in San Francisco
5546,Julian Jarrold,Matthew Goode,"[Drama, Romance]",6.7,133.0,Patrick Malahide,Brideshead Revisited
5547,Brad Peyton,Bette Midler,"[Action, Comedy, Family]",4.2,82.0,Chris O'Donnell,Cats &#x26; Dogs: The Revenge of Kitty Galore
5548,Billy Crystal,Billy Crystal,"[Comedy, Romance]",6.4,101.0,Debra Winger,Forget Paris
5549,John Schlesinger,Madonna,"[Comedy, Drama, Romance]",4.6,108.0,Rupert Everett,The Next Best Thing
5550,Gabe Torres,Stephen Dorff,[Thriller],6.1,92.0,Chyler Leigh,Brake
5551,Ken Kwapis,Jason Alexander,"[Comedy, Adventure, Family]",5.2,88.0,Faye Dunaway,Dunston Checks In
5552,Alain Chabat,Marina Foïs,"[Comedy, Crime, Sci-Fi]",5.7,94.0,Gérard Depardieu,RRRrrrr!!!
5553,Allan A. Goldstein,Leslie Nielsen,"[Comedy, Sci-Fi]",3.2,99.0,Ophélie Winter,2001: A Space Travesty
5554,George Gallo,Nicolas Cage,"[Adventure, Comedy, Crime, Romance]",5.9,111.0,Jon Lovitz,Trapped in Paradise
5555,Prachya Pinkaew,Djimon Hounsou,"[Action, Crime, Fantasy, Thriller]",5.1,91.0,Kevin Bacon,Elephant White
5556,Ramaa Mosley,Juno Temple,"[Comedy, Fantasy, Thriller]",6.4,101.0,Michael Angarano,The Brass Teapot
5557,Geoffrey Wright,Brittany Murphy,"[Comedy, Horror, Mystery, Thriller]",5.0,92.0,Jay Mohr,Cherry Falls
5558,Kari Skogland,Ben Kingsley,"[Drama, Thriller]",6.9,117.0,Jim Sturgess,Fifty Dead Men Walking
5559,Wes Craven,Meryl Streep,"[Drama, Music]",6.7,124.0,Cloris Leachman,Music of the Heart
5560,Wayne Blair,Chris O'Dowd,"[Biography, Comedy, Drama, Music, Musical]",7.0,103.0,Deborah Mailman,The Sapphires
5561,Chad Bowers,Daisuke Nishio,"[Animation, Action, Adventure, Sci-Fi, Thriller]",6.9,59.0,Peter Kelamis,Doragon b&#xF4;ru Z: Kono yo de ichiban tsuyoi yatsu
5562,Alain Chabat,Jamel Debbouze,"[Adventure, Comedy, Family]",5.5,105.0,Alain Chabat,HOUBA! On the Trail of the Marsupilami
5563,Damjan Kozole,Nina Ivanisin,[Drama],6.3,90.0,Peter Musevski,Slovenian Girl
5564,Gilles Bourdos,Michel Bouquet,"[Biography, Drama, History]",6.5,111.0,Christa Theret,Renoir
5565,Giovanni Veronesi,Monica Bellucci,"[Comedy, Romance]",5.9,125.0,Robert De Niro,The Ages of Love
5566,Martin Lawrence,Martin Lawrence,"[Comedy, Thriller, Crime, Romance]",5.5,108.0,Lynn Whitfield,A Thin Line Between Love and Hate
5567,Marc Rothemund,Tobias Schenke,"[Comedy, Fantasy]",4.9,95.0,Axel Stein,Just the Two of Us
5568,Selton Mello,Selton Mello,"[Adventure, Comedy, Drama]",7.4,88.0,Paulo José,The Clown
5569,Gonzalo López-Gallego,Leonardo Sbaraglia,[Thriller],6.3,90.0,María Valverde,El rey de la monta&#xF1;a
5570,Theodoros Angelopoulos,Alexandra Aidini,"[Drama, History, Romance]",7.8,185.0,Nikos Poursanidis,Trilogy: The Weeping Meadow
5571,Sam Pillsbury,Nicolas Cage,"[Drama, Romance, Thriller]",4.3,100.0,Erika Anderson,Zandalee
5572,Siddique,Vijay Chandrasekar,"[Action, Drama, Romance]",7.2,155.0,Asin,The Bodyguard
5573,Felix Chong,Alan Mak,"[Action, Biography, Drama, History]",6.0,109.0,Donnie Yen,Guan Yun Chang
5574,Robert Lieberman,Harley Jane Kozak,"[Comedy, Family, Romance]",6.0,92.0,Jamey Sheridan,All I Want for Christmas
5575,Bobcat Goldthwait,Melinda Page Hamilton,"[Comedy, Drama, Romance]",5.9,87.0,Bryce Johnson,Sleeping Dogs
5576,Eric Nicholas,Ana Claudia Talancón,"[Crime, Drama, Thriller]",6.2,78.0,Colin Hanks,Alone with Her
5577,Adrián Caetano,Rodrigo De la Serna,"[Crime, Thriller]",7.3,103.0,Pablo Echarri,Buenos Aires 1977
5578,R.D. Robb,Amber Benson,[Drama],5.9,89.0,Scott Bloom,Don&#x27;s Plum
5579,Aki Kaurismäki,Matti Pellonpää,"[Comedy, Drama]",7.7,100.0,Evelyne Didi,La Vie de Boh&#xE8;me
5580,Edward Burns,Annette Arnold,"[Comedy, Drama, Romance]",6.6,103.0,Selma Blair,Purple Violets
5581,Aisling Walsh,Aidan Quinn,[Drama],7.5,100.0,Iain Glen,Song for a Raggy Boy
5582,Rocco DeVilliers,Jesse James,"[Action, Adventure]",6.9,118.0,Reiley McClendon,Sky Kids
5583,Ki-duk Kim,Dong-kun Yang,"[Drama, War]",7.3,117.0,Min-jung Ban,Address Unknown
5584,Ken Loach,Robert Carlyle,"[Comedy, Drama]",7.1,95.0,Emer McCourt,Riff-Raff
5585,Indra Kumar,Aamir Khan,"[Comedy, Drama, Romance]",6.9,172.0,Madhuri Dixit,Dil
5586,Lenny Abrahamson,Jack Reynor,[Drama],6.3,88.0,Fionn Walton,What Richard Did
5587,Craig Chester,Craig Chester,"[Comedy, Drama, Music, Romance]",6.0,99.0,Malcolm Gets,Adam &#x26; Steve
5588,Meiert Avis,Kip Pardue,"[Comedy, Music, Romance]",4.2,97.0,Carrie Fisher,Undiscovered
5589,Shi-Zheng Chen,Meryl Streep,[Drama],6.2,88.0,Ye Liu,Dark Matter
5590,Richard Attenborough,Pierce Brosnan,"[Biography, Drama, Western]",6.0,118.0,Stewart Bick,Grey Owl
5591,Michael Polish,Winona Ryder,"[Comedy, Drama, Romance]",5.3,94.0,Mark Polish,Stay Cool
5592,Vikas Bahl,Nitesh Tiwari,"[Comedy, Drama, Family]",7.5,135.0,Aarav Khanna,Chillar Party
5593,Robert Townsend,Halle Berry,[Comedy],3.9,91.0,Natalie Desselle,B*A*P*S
5594,Kevin Bacon,Kyra Sedgwick,"[Drama, Romance]",5.5,84.0,Dominic Scott Kay,Loverboy
5595,James Huth,Jean Dujardin,"[Adventure, Comedy, Western]",4.8,103.0,Michaël Youn,Lucky Luke
5596,Luis Estrada,Damián Alcázar,"[Comedy, Crime, Mystery]",8.1,120.0,Pedro Armendáriz Jr.,Herod&#x27;s Law
5597,Frank Henenlotter,Kevin Van Hentenryck,"[Comedy, Horror]",5.2,90.0,Judy Grafe,Basket Case 2
5598,Guy Maddin,Gretchen Krich,"[Comedy, Fantasy]",7.4,95.0,Sullivan Brown,Brand Upon the Brain!
5599,Cláudio Torres,Wagner Moura,"[Comedy, Fantasy, Sci-Fi]",7.2,106.0,Alinne Moraes,The Man from the Future
5600,Su-chang Kong,Woo-seong Kam,"[Action, Drama, Horror, Thriller, War]",6.4,107.0,Byung-ho Son,R-Point
5601,Jocelyn Moorhouse,Hugo Weaving,[Drama],7.4,86.0,Geneviève Picot,Proof
5602,Jonathan Kesselman,Adam Goldberg,[Comedy],6.3,85.0,Andy Dick,The Hebrew Hammer
5603,Atil Inaç,Safak Sezer,"[Action, Comedy]",5.8,98.0,Aydemir Akbas,Kolpa&#xE7;ino
5604,Rusty Cundieff,Clarence Williams III,"[Horror, Thriller]",6.1,98.0,Corbin Bernsen,Tales from the Hood
5605,Michael Gottlieb,Thomas Ian Nicholas,"[Adventure, Comedy, Family, Fantasy, Romance]",4.7,89.0,Joss Ackland,A Kid in King Arthur&#x27;s Court
5606,Wim Wenders,Traci Lind,"[Drama, Thriller]",5.6,122.0,Rosalind Chao,The End of Violence
5607,Geoff Burton,Kevin Dowling,"[Comedy, Drama]",7.4,100.0,Jack Thompson,The Sum of Us
5608,Anthony Waller,Marina Zudina,"[Horror, Thriller]",6.8,95.0,Fay Ripley,Mute Witness
5609,Lukas Moodysson,Thorsten Flinck,[Drama],4.6,98.0,Björn Almroth,A Hole in My Heart
5610,Mahsun Kirmizigül,Aziz Acar,[Drama],6.4,115.0,Cansu Aktay,The White Angel
5611,Whit Stillman,Taylor Nichols,"[Comedy, Drama, Romance]",7.0,101.0,Chris Eigeman,Barcelona
5612,Luca Miniero,Claudio Bisio,[Comedy],6.4,102.0,Alessandro Siani,Welcome to the South
5613,Martin Sheen,Charlie Sheen,[Drama],6.5,97.0,Martin Sheen,Stockade
5614,Ömür Atay,Selim Demirdelen,[Drama],7.5,99.0,Altan Erkekli,Istanbul Tales
5615,Sebastián Silva,Catalina Saavedra,"[Comedy, Drama]",7.3,95.0,Claudia Celedón,The Maid
5616,Mark Joffe,Billy Connolly,"[Comedy, Drama, Romance]",6.5,97.0,Judy Davis,The Man Who Sued God
5617,Takeshi Kitano,Takeshi Kitano,"[Action, Comedy, Crime, Drama, Thriller]",6.8,96.0,Yûrei Yanagi,Boiling Point
5618,David Mamet,Joe Mantegna,"[Crime, Drama, Thriller]",7.0,102.0,William H. Macy,Homicide
5619,Alex De Rakoff,Mark Heap,[Comedy],5.7,89.0,Michael Lerner,The Calcium Kid
5620,Jacques Rivette,Michel Piccoli,[Drama],7.6,238.0,Jane Birkin,La belle noiseuse
5621,Dominic Anciano,Ray Burdis,"[Comedy, Crime]",6.4,103.0,Sadie Frost,"Love, Honour and Obey"
5622,Mamoru Oshii,Rinko Kikuchi,"[Animation, Adventure, Drama]",6.8,122.0,Ryô Kase,The Sky Crawlers
5623,Sundar C.,Kamal Hassan,"[Adventure, Comedy, Drama]",8.6,160.0,Madhavan,Love is God
5624,Madhur Bhandarkar,Konkona Sen Sharma,[Drama],7.4,139.0,Atul Kulkarni,Page 3
5625,Jean-François Pouliot,David Boutin,[Comedy],7.4,108.0,Lucie Laurier,Seducing Doctor Lewis
5626,Miguel Gomes,Telmo Churro,"[Drama, Romance]",7.4,118.0,Miguel Gomes,Tabu
5627,Rolf de Heer,Gary Sweet,"[Drama, Mystery, Thriller]",6.6,103.0,Helen Buday,Alexandra&#x27;s Project
5628,Stobe Harju,Marianne Farley,"[Drama, Fantasy, Musical]",6.2,86.0,Quinn Lord,Imaginaerum
5629,Oxide Pang Chun,Danny Pang,"[Fantasy, Horror, Mystery, Thriller]",6.2,108.0,Angelica Lee,Re-cycle
5630,Bahman Ghobadi,Behrouz Vossoughi,[Drama],6.8,88.0,Monica Bellucci,Rhino Season
5631,Jeremy Gardner,Jeremy Gardner,"[Drama, Horror]",6.5,101.0,Adam Cronheim,The Battery
5632,David Lynch,Scott Coffey,"[Comedy, Drama, Fantasy, Horror, Mystery]",7.0,50.0,Rebekah Del Rio,Rabbits
5633,Shôhei Imamura,Kôji Yakusho,[Drama],7.4,117.0,Misa Shimizu,The Eel
5634,Stefano Sollima,Pierfrancesco Favino,"[Action, Crime, Drama]",6.6,112.0,Filippo Nigro,A.C.A.B.
5635,Iván Kapitány,Péter Rudolf,[Comedy],7.9,100.0,Péter Rudolf,Glass Tiger
5636,Hugh Hudson,Kim Basinger,"[Adventure, Drama, Romance]",5.5,114.0,Vincent Perez,I Dreamed of Africa
5637,Vic Armstrong,Dolph Lundgren,"[Action, Adventure, Crime, Drama, Mystery, Thriller]",5.6,106.0,George Segal,Joshua Tree
5638,Marina de Van,Marina de Van,"[Drama, Horror]",6.3,93.0,Laurent Lucas,In My Skin
5639,Pascal Laugier,Virginie Ledoyen,"[Drama, Fantasy, Horror, Mystery]",4.9,98.0,Lou Doillon,House of Voices
5640,Morten Tyldum,Nicolai Cleve Broch,"[Comedy, Drama, Romance]",6.9,100.0,Aksel Hennie,Buddy
5641,Jamie Thraves,Paddy Considine,"[Drama, Thriller]",6.0,100.0,Julia Stiles,The Cry of the Owl
5642,Tran Anh Hung,Le Van Loc,"[Crime, Drama]",7.4,123.0,Tony Chiu Wai Leung,Cyclo
5643,Chris Ver Wiel,Christian Slater,"[Comedy, Crime]",6.4,92.0,Tim Allen,Who Is Cletis Tout?
5644,P.J. Hogan,Toni Collette,"[Comedy, Drama]",6.1,116.0,Anthony LaPaglia,Mental
5645,Ashish R. Mohan,Akshay Kumar,"[Action, Comedy]",4.2,141.0,Asin,Khiladi 786
5646,Abel Ferrara,Willem Dafoe,"[Drama, Fantasy, Sci-Fi]",4.5,82.0,Shanyn Leigh,4:44 Last Day on Earth
5647,Takashi Shimizu,Shin'ya Tsukamoto,"[Drama, Fantasy, Horror, Mystery]",6.1,92.0,Tomomi Miyashita,The Stranger from Afar
5648,Jeong-hyang Lee,Seung Ho Yoo,[Drama],7.8,80.0,Eul-boon Kim,The Way Home
5649,Asghar Farhadi,Hamid Farokhnezhad,"[Drama, Mystery]",8.0,102.0,Hediyeh Tehrani,Fireworks Wednesday
5650,Anthony Hickox,Julian Sands,"[Fantasy, Horror]",5.2,98.0,Chris Young,Warlock: The Armageddon
5651,Radivoje Andric,Boris Milivojevic,[Comedy],7.7,90.0,Sergej Trifunovic,Munje!
5652,Rolf de Heer,Peter Djigirr,"[Adventure, Comedy, Drama]",7.0,90.0,Crusoe Kurddal,Ten Canoes
5653,Bavo Defurne,Ben Van den Heuvel,[Drama],7.3,94.0,Eva van der Gucht,North Sea Texas
5654,John Sayles,Chris Cooper,"[Comedy, Drama, Mystery, Thriller]",6.1,128.0,Thora Birch,Silver City
5655,Olli Saarela,Peter Franzén,"[War, Drama]",6.8,123.0,Irina Björklund,Rukaj&#xE4;rven tie
5656,Athina Rachel Tsangari,Ariane Labed,[Drama],6.1,97.0,Yorgos Lanthimos,Attenberg
5657,Levan Bakhia,Beqa Jguburia,"[Horror, Thriller]",5.0,88.0,Scout Taylor-Compton,247&#xB0;F
5658,Thomas Jane,Thomas Jane,"[Crime, Mystery, Thriller]",5.3,88.0,Lauren German,Dark Country
5659,Kôji Shiraishi,Kotoha Hiroyama,"[Crime, Horror, Thriller]",4.8,73.0,Hiroaki Kawatsure,Grotesque
5660,Catherine Breillat,Amira Casar,[Drama],4.4,77.0,Rocco Siffredi,Anatomy of Hell
